time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	3	0	0.1	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.726881	0.53778	4.51811	0.517332	0.103161	radar	6.99202	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.983858	0.616172	4.99437	0.357209	0.101327	lidar	3.09101	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.21734	0.523725	4.9191	0.162476	0.0887213	radar	5.55551	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.51382	0.583565	5.01315	0.135502	0.0879033	lidar	1.27945	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.78743	0.575221	5.17815	0.0897319	0.0825495	radar	1.48943	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.0791	0.606595	5.2293	0.0817102	0.0836596	lidar	0.797396	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.30582	0.638049	5.16227	0.105757	0.0878522	radar	1.60275	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.58147	0.664872	5.18919	0.103051	0.0869839	lidar	0.305936	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.8548	0.66941	5.21606	0.0877622	0.0687536	radar	0.367735	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.09565	0.685105	5.19037	0.0896516	0.0603094	lidar	0.496617	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.38718	0.627591	5.22152	0.0302819	-0.0293731	radar	4.13354	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.69509	0.572171	5.27404	-0.0218897	-0.104121	lidar	5.914	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.97569	0.597854	5.33076	-0.00333515	-0.055429	radar	1.5215	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.25315	0.591829	5.34532	-0.0102573	-0.0605545	lidar	0.179593	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.5133	0.609875	5.31491	0.00069767	-0.0357131	radar	0.679591	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.707	0.686497	5.2213	0.0552735	0.0579911	lidar	9.48365	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.96104	0.682595	5.1654	0.0446289	0.0339235	radar	2.03765	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.26569	0.678297	5.22602	0.0338236	0.0158326	lidar	3.44388	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.52522	0.685013	5.25491	0.033915	0.0147611	radar	1.51736	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82281	0.695525	5.30045	0.034566	0.0165409	lidar	2.08763	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.06713	0.630409	5.22799	-0.0133141	-0.0685113	radar	4.14763	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
